County,Positive,Deaths,Negative
Baker,1,0,93
Benton,43,5,2274
Clackamas,250,8,6776
Clatsop,27,0,696
Columbia,15,0,881
Coos,29,0,729
Crook,1,0,275
Curry,4,0,201
Deschutes,84,0,2453
Douglas,24,0,1324
Gilliam,0,0,29
Grant,1,0,64
Harney,1,0,80
Hood River,11,0,666
Jackson,49,0,4582
Jefferson,22,0,404
Josephine,24,1,1245
Klamath,39,0,2389
Lake,0,0,76
Lane,59,2,5123
Lincoln,6,0,717
Linn,100,7,2401
Malheur,13,0,321
Marion,626,23,5234
Morrow,12,0,96
Multnomah,839,52,15529
Polk,80,5,1030
Sherman,1,0,41
Tillamook,6,0,383
Umatilla,80,1,858
Union,4,0,155
Wallowa,1,0,46
Wasco,15,1,730
Washington,556,12,9996
Wheeler,0,0,14
Yamhill,45,7,1707
Total,3068,124,69618
