County,Cases1,Total deaths2,Negative tests3,,,
Baker,144,3,2334,,,
Benton,465,6,19039,,,
Clackamas,3383,67,78130,,,
Clatsop,257,0,6942,,,
Columbia,280,2,8900,,,
Coos,271,1,9212,,,
Crook,116,4,3245,,,
Curry,62,2,2425,,,
Deschutes,1267,13,39660,,,
Douglas,384,8,15819,,,
Gilliam,17,0,370,,,
Grant,14,0,1064,,,
Harney,39,0,972,,,
Hood River,290,1,5987,,,
Jackson,1911,7,42722,,,
Jefferson,611,10,5835,,,
Josephine,277,3,14893,,,
Klamath,437,3,12036,,,
Lake,47,0,1102,,,
Lane,2596,28,83523,,,
Lincoln,521,13,10013,,,
Linn,890,17,21542,,,
Malheur,1985,38,6456,,,
Marion,6252,112,62664,,,
Morrow,559,7,2117,,,
Multnomah,9894,172,181689,,,
Polk,695,15,12457,,,
Sherman,21,0,394,,,
Tillamook,77,0,3715,,,
Umatilla,3481,45,15793,,,
Union,494,2,5315,,,
Wallowa,56,2,1242,,,
Wasco,362,16,6060,,,
Washington,6230,79,116498,,,
Wheeler,1,0,187,,,
Yamhill,1043,15,22011,,,
Total,45429,691,822363,,,
