County,Cases1,Deaths2
Baker,987,15
Benton,3223,22
Clackamas,18632,232
Clatsop,1021,8
Columbia,1872,29
Coos,2152,37
Crook,1243,22
Curry,681,10
Deschutes,9804,80
Douglas,3716,80
Gilliam,72,1
Grant,545,7
Harney,409,9
Hood River,1211,33
Jackson,11365,146
Jefferson,2347,38
Josephine,3515,72
Klamath,4734,76
Lake,465,7
Lane,13711,155
Lincoln,1409,21
Linn,5463,78
Malheur,3590,63
Marion,23155,322
Morrow,1146,16
Multnomah,39915,610
Polk,3918,55
Sherman,65,1
Tillamook,660,4
Umatilla,8489,86
Union,1484,24
Wallowa,193,5
Wasco,1433,28
Washington,26547,245
Wheeler,34,1
Yamhill,4727,78
Total,203933,2716
