County,Cases1,Total deaths2,Negative tests3
Baker,112,2,2097
Benton,416,6,16678
Clackamas,2918,65,70862
Clatsop,235,0,6432
Columbia,247,1,8127
Coos,214,0,8243
Crook,81,1,2930
Curry,56,1,2181
Deschutes,1047,13,35847
Douglas,314,4,14593
Gilliam,11,0,346
Grant,10,0,1001
Harney,13,0,907
Hood River,268,1,5651
Jackson,1492,6,39034
Jefferson,593,9,5380
Josephine,256,2,13687
Klamath,397,3,11378
Lake,35,0,1024
Lane,2091,22,74361
Lincoln,508,13,9496
Linn,741,14,19308
Malheur,1842,33,5970
Marion,5470,105,55897
Morrow,540,6,1972
Multnomah,8520,152,165350
Polk,628,15,10884
Sherman,18,0,379
Tillamook,69,0,3429
Umatilla,3258,43,14651
Union,456,2,4854
Wallowa,40,2,1122
Wasco,332,15,5671
Washington,5365,69,105775
Wheeler,1,0,180
Yamhill,938,15,19875
Total,39532,620,745572
" ",,,
"
",,,
