County,Cases1,Total deaths2,Negative tests3
Baker,120,3,2190
Benton,441,6,17922
Clackamas,3097,65,74155
Clatsop,242,0,6657
Columbia,259,1,8469
Coos,238,0,8675
Crook,107,2,3059
Curry,57,1,2325
Deschutes,1123,13,37810
Douglas,349,5,15204
Gilliam,11,0,358
Grant,11,0,1030
Harney,23,0,935
Hood River,277,1,5807
Jackson,1669,6,40772
Jefferson,604,9,5564
Josephine,267,3,14366
Klamath,410,3,11716
Lake,35,0,1051
Lane,2354,27,80284
Lincoln,517,13,9765
Linn,803,15,20497
Malheur,1915,38,6241
Marion,5819,108,58845
Morrow,545,6,2029
Multnomah,9137,160,172797
Polk,650,15,11628
Sherman,18,0,385
Tillamook,70,0,3575
Umatilla,3349,44,15271
Union,466,2,5082
Wallowa,44,2,1194
Wasco,347,15,5874
Washington,5739,75,110514
Wheeler,1,0,184
Yamhill,987,15,20919
Total,42101,653,783149
