County,Cases1,Total deaths2,Negative tests3
Baker,101,2,1864
Benton,349,6,14386
Clackamas,2542,63,63057
Clatsop,225,0,5899
Columbia,201,1,7318
Coos,176,0,7331
Crook,63,1,2660
Curry,32,0,1898
Deschutes,906,12,31748
Douglas,257,4,13332
Gilliam,8,0,294
Grant,10,0,924
Harney,12,0,835
Hood River,254,0,5110
Jackson,1254,6,35188
Jefferson,562,8,5000
Josephine,215,2,12447
Klamath,302,3,10527
Lake,33,0,927
Lane,1470,19,67196
Lincoln,485,13,8939
Linn,568,13,17309
Malheur,1691,30,5511
Marion,4924,99,50451
Morrow,521,6,1834
Multnomah,7516,144,147690
Polk,553,15,9628
Sherman,18,0,346
Tillamook,54,0,3161
Umatilla,3095,42,13562
Union,446,2,4529
Wallowa,33,1,1028
Wasco,305,5,5226
Washington,4779,61,95602
Wheeler,0,0,164
Yamhill,810,14,17745
Total,34770,572,670666
