County,Cases1,Deaths2,Negatives3
Baker,1,0,269
Benton,62,5,3990
Clackamas,339,12,13043
Clatsop,45,0,1671
Columbia,16,0,1706
Coos,32,0,1672
Crook,6,0,641
Curry,7,0,397
Deschutes,134,0,6222
Douglas,29,0,3046
Gilliam,0,0,60
Grant,1,0,110
Harney,1,0,246
Hood River,37,0,1323
Jackson,69,0,7610
Jefferson,55,0,1081
Josephine,23,1,2570
Klamath,45,0,3714
Lake,2,0,158
Lane,80,3,12801
Lincoln,27,0,1704
Linn,124,9,4508
Malheur,33,0,768
Marion,1028,27,10582
Morrow,12,0,191
Multnomah,1236,63,29311
Polk,100,12,2018
Sherman,1,0,83
Tillamook,6,0,797
Umatilla,125,3,1854
Union,6,0,490
Wallowa,2,0,163
Wasco,32,1,1416
Washington,775,18,19108
Wheeler,0,0,99
Yamhill,79,7,3225
Total,4570,161,138647
