County,Positive,Deaths,Negative
Baker,1,0,86
Benton,40,5,2135
Clackamas,235,7,6319
Clatsop,17,0,593
Columbia,15,0,825
Coos,28,0,683
Crook,1,0,254
Curry,4,0,184
Deschutes,81,0,2304
Douglas,24,0,1251
Gilliam,0,0,24
Grant,1,0,59
Harney,1,0,76
Hood River,11,0,586
Jackson,49,0,4430
Jefferson,18,0,371
Josephine,24,1,1199
Klamath,39,0,2264
Lake,0,0,73
Lane,57,2,4531
Lincoln,6,0,662
Linn,99,7,2104
Malheur,13,0,280
Marion,592,19,4942
Morrow,10,0,93
Multnomah,793,50,14614
Polk,75,3,976
Sherman,1,0,34
Tillamook,6,0,357
Umatilla,77,1,794
Union,4,0,148
Wallowa,1,0,42
Wasco,14,1,677
Washington,537,12,9457
Wheeler,0,0,13
Yamhill,42,7,1616
Total,2916,115,65056
