County,Cases1,Total deaths2,Negative tests3
Baker,94,2,1752
Benton,310,6,13175
Clackamas,2398,61,60789
Clatsop,204,0,5515
Columbia,165,1,6942
Coos,156,0,6804
Crook,62,1,2554
Curry,31,0,1789
Deschutes,825,12,29466
Douglas,227,4,12695
Gilliam,8,0,276
Grant,9,0,890
Harney,12,0,808
Hood River,251,0,4971
Jackson,1139,5,33152
Jefferson,529,8,4690
Josephine,198,2,11792
Klamath,280,2,10116
Lake,32,0,877
Lane,1185,17,63598
Lincoln,481,13,8649
Linn,519,13,16370
Malheur,1617,23,5197
Marion,4658,94,47452
Morrow,498,6,1738
Multnomah,7113,137,141020
Polk,529,15,8876
Sherman,18,0,355
Tillamook,52,0,3040
Umatilla,2962,41,13033
Union,446,2,3592
Wallowa,30,1,980
Wasco,289,3,5013
Washington,4497,60,90985
Wheeler,0,0,163
Yamhill,757,13,16996
Total,32581,546,636090
