County,Cases1,Total deaths2,Negatives
Baker,488,5,0
Benton,1394,11,0
Clackamas,10340,112,0
Clatsop,586,3,0
Columbia,882,15,0
Coos,789,11,0
Crook,471,7,0
Curry,293,3,0
Deschutes,4168,22,0
Douglas,1439,40,0
Gilliam,39,1,0
Grant,170,1,0
Harney,141,2,0
Hood River,843,17,0
Jackson,6069,72,0
Jefferson,1534,18,0
Josephine,1298,22,0
Klamath,1991,18,0
Lake,200,4,0
Lane,7170,93,0
Lincoln,908,17,0
Linn,2731,32,0
Malheur,2926,50,0
Marion,14483,215,0
Morrow,839,8,0
Multnomah,25943,393,0
Polk,2066,33,0
Sherman,31,0,0
Tillamook,325,0,0
Umatilla,5840,57,0
Union,988,15,0
Wallowa,80,3,0
Wasco,928,22,0
Washington,16595,143,0
Wheeler,17,1,0
Yamhill,2740,34,0
Total,117745,1500,0
