County,Cases1,Deaths2,Negatives3
Baker,1,0,153
Benton,55,5,3308
Clackamas,284,9,9336
Clatsop,42,0,1191
Columbia,16,0,1252
Coos,30,0,1145
Crook,1,0,420
Curry,5,0,271
Deschutes,116,0,3964
Douglas,25,0,2011
Gilliam,0,0,47
Grant,1,0,93
Harney,1,0,134
Hood River,14,0,890
Jackson,52,0,5613
Jefferson,24,0,668
Josephine,27,1,1725
Klamath,41,0,2995
Lake,0,0,103
Lane,66,2,7938
Lincoln,8,0,1178
Linn,110,9,3253
Malheur,21,0,524
Marion,879,24,7734
Morrow,12,0,136
Multnomah,1018,57,21207
Polk,94,9,1542
Sherman,1,0,65
Tillamook,6,0,557
Umatilla,105,3,1317
Union,6,0,283
Wallowa,1,0,88
Wasco,18,1,953
Washington,658,17,13793
Wheeler,0,0,73
Yamhill,63,7,2370
Total,3801,144,98330
