County,Cases1,Deaths2,Negatives3
Baker,204,3,2598
Benton,585,7,20392
Clackamas,4359,72,84613
Clatsop,295,0,7572
Columbia,334,2,9540
Coos,320,1,10086
Crook,159,5,3618
Curry,81,2,2586
Deschutes,1587,14,43377
Douglas,581,10,17000
Gilliam,18,0,401
Grant,65,0,1217
Harney,58,0,1091
Hood River,311,1,6304
Jackson,2694,10,46307
Jefferson,674,11,6200
Josephine,333,4,16378
Klamath,503,3,12598
Lake,58,0,1170
Lane,3132,33,89138
Lincoln,532,13,10528
Linn,1054,17,23112
Malheur,2147,38,6896
Marion,7266,124,67950
Morrow,588,7,2270
Multnomah,12382,191,196922
Polk,857,15,13691
Sherman,23,0,425
Tillamook,95,0,3963
Umatilla,3788,45,16698
Union,574,2,5715
Wallowa,69,2,1371
Wasco,393,17,6473
Washington,7523,89,125834
Wheeler,1,0,199
Yamhill,1294,15,23976
Total,54937,753,888210
