County,Cases1,Total deaths2,Negative tests3
Baker,22,0,805
Benton,134,6,7757
Clackamas,1276,34,35158
Clatsop,68,0,3284
Columbia,69,0,4012
Coos,80,0,3606
Crook,32,1,1528
Curry,13,0,934
Deschutes,460,3,15662
Douglas,116,1,7194
Gilliam,3,0,144
Grant,2,0,475
Harney,6,0,517
Hood River,150,0,3353
Jackson,291,0,17107
Jefferson,258,0,2825
Josephine,84,1,6060
Klamath,181,1,6572
Lake,31,0,419
Lane,448,3,37566
Lincoln,380,8,6407
Linn,223,10,9859
Malheur,576,8,2802
Marion,2413,65,26826
Morrow,245,1,1001
Multnomah,3921,82,80007
Polk,245,12,4235
Sherman,8,0,231
Tillamook,24,0,1866
Umatilla,1678,16,7749
Union,385,2,2247
Wallowa,18,1,591
Wasco,146,3,3025
Washington,2495,22,51198
Wheeler,0,0,132
Yamhill,277,9,8563
Total,16758,289,361717
