County,Total Cases1,Total deaths2,,,,
Baker,959,14,,,,
Benton,3117,20,,,,
Clackamas,17633,214,,,,
Clatsop,994,8,,,,
Columbia,1757,29,,,,
Coos,2077,35,,,,
Crook,1131,22,,,,
Curry,646,10,,,,
Deschutes,9122,74,,,,
Douglas,3291,71,,,,
Gilliam,63,1,,,,
Grant,522,6,,,,
Harney,348,8,,,,
Hood River,1196,31,,,,
Jackson,10938,139,,,,
Jefferson,2215,37,,,,
Josephine,3364,71,,,,
Klamath,4486,64,,,,
Lake,455,7,,,,
Lane,13089,149,,,,
Lincoln,1385,21,,,,
Linn,4981,68,,,,
Malheur,3527,63,,,,
Marion,22140,307,,,,
Morrow,1111,16,,,,
Multnomah,38618,593,,,,
Polk,3779,53,,,,
Sherman,58,1,,,,
Tillamook,652,3,,,,
Umatilla,8236,84,,,,
Union,1451,23,,,,
Wallowa,185,5,,,,
Wasco,1381,28,,,,
Washington,25757,233,,,,
Wheeler,32,1,,,,
Yamhill,4483,76,,,,
Total,195179,2585,,,,
