County,Positive,Deaths,Negative
Baker,0,0,29
Benton,23,2,570
Clackamas,132,3,2658
Clatsop,6,0,264
Columbia,12,0,352
Coos,1,0,326
Crook,1,0,104
Curry,3,0,96
Deschutes,54,0,1098
Douglas,16,0,497
Gilliam,0,0,14
Grant,1,0,30
Harney,0,0,45
Hood River,4,0,289
Jackson,47,0,2906
Jefferson,0,0,103
Josephine,19,1,654
Klamath,25,0,856
Lake,0,0,47
Lane,41,1,1265
Lincoln,4,0,248
Linn,52,4,1156
Malheur,4,0,140
Marion,280,9,2474
Morrow,5,0,40
Multnomah,398,19,6850
Polk,30,1,499
Sherman,1,0,14
Tillamook,4,0,151
Umatilla,16,0,371
Union,4,0,82
Wallowa,1,0,21
Wasco,10,0,315
Washington,360,7,4195
Wheeler,0,0,6
Yamhill,30,6,772
Total,1584,53,29537
