County,Cases1,Total deaths2,Negative tests3
Baker,272,3,2802
Benton,757,7,22306
Clackamas,5840,77,91914
Clatsop,351,0,8173
Columbia,466,3,10261
Coos,418,2,10921
Crook,211,6,3970
Curry,129,2,2731
Deschutes,2138,14,47509
Douglas,900,17,18425
Gilliam,21,0,431
Grant,133,1,1427
Harney,93,1,1176
Hood River,393,1,6799
Jackson,3643,28,49905
Jefferson,804,11,6655
Josephine,507,4,17585
Klamath,760,4,13708
Lake,117,1,1264
Lane,4139,41,95068
Lincoln,610,15,11673
Linn,1357,20,24478
Malheur,2369,42,7299
Marion,8849,137,73818
Morrow,642,7,2453
Multnomah,15860,232,213490
Polk,1168,16,15050
Sherman,23,0,453
Tillamook,121,0,4213
Umatilla,4256,49,17859
Union,749,4,6117
Wallowa,71,3,1448
Wasco,512,19,6983
Washington,9678,99,135900
Wheeler,3,0,253
Yamhill,1646,16,26140
Total,70006,882,960657
