Hospital_Capacity_(as_reported_to_OHA_by_hospitals),Available,Total
Adult ICU beds,294,739
Adult non-ICU beds,2237,6826
Pediatric NICU/PICU beds,90,198
Pediatric non-ICU beds,189,287
Ventilators,794,
