County,Cases1,Deaths2,Negatives3
Baker,197,3,2537
Benton,548,6,20183
Clackamas,4167,71,83481
Clatsop,293,0,7465
Columbia,325,2,9419
Coos,314,1,9857
Crook,151,5,3560
Curry,78,2,2545
Deschutes,1530,14,42529
Douglas,542,10,16697
Gilliam,17,0,396
Grant,61,0,1206
Harney,51,0,1065
Hood River,306,1,6236
Jackson,2484,8,45528
Jefferson,659,11,6137
Josephine,322,4,16118
Klamath,489,3,12482
Lake,54,0,1152
Lane,2992,32,88087
Lincoln,529,13,10316
Linn,1031,17,22787
Malheur,2108,38,6765
Marion,7045,121,66993
Morrow,582,7,2238
Multnomah,11792,188,193994
Polk,825,15,13430
Sherman,23,0,423
Tillamook,91,0,3917
Umatilla,3705,45,16509
Union,562,2,5647
Wallowa,67,2,1345
Wasco,385,17,6408
Washington,7207,89,124169
Wheeler,1,0,193
Yamhill,1237,15,23530
Total,52770,742,875573
