County,Cases1,Deaths2
Baker,409,4
Benton,1232,11
Clackamas,9297,108
Clatsop,492,2
Columbia,767,10
Coos,672,6
Crook,403,7
Curry,255,3
Deschutes,3632,20
Douglas,1313,37
Gilliam,33,1
Grant,165,1
Harney,126,1
Hood River,733,10
Jackson,5411,62
Jefferson,1306,14
Josephine,1016,19
Klamath,1664,15
Lake,187,4
Lane,6333,81
Lincoln,814,16
Linn,2385,32
Malheur,2757,49
Marion,12771,201
Morrow,779,8
Multnomah,23620,375
Polk,1785,24
Sherman,30,0
Tillamook,267,0
Umatilla,5249,54
Union,958,13
Wallowa,75,3
Wasco,802,20
Washington,14878,138
Wheeler,13,0
Yamhill,2444,33
Total,105073,1382
