County,Total Cases1,Total deaths2,,,,
Baker,971,15,,,,
Benton,3194,22,,,,
Clackamas,18310,223,,,,
Clatsop,1010,8,,,,
Columbia,1832,29,,,,
Coos,2146,36,,,,
Crook,1201,22,,,,
Curry,667,10,,,,
Deschutes,9649,79,,,,
Douglas,3550,75,,,,
Gilliam,64,1,,,,
Grant,529,6,,,,
Harney,383,8,,,,
Hood River,1204,32,,,,
Jackson,11234,143,,,,
Jefferson,2312,38,,,,
Josephine,3474,72,,,,
Klamath,4680,73,,,,
Lake,462,7,,,,
Lane,13494,152,,,,
Lincoln,1398,21,,,,
Linn,5346,76,,,,
Malheur,3562,63,,,,
Marion,22839,318,,,,
Morrow,1133,16,,,,
Multnomah,39543,606,,,,
Polk,3873,53,,,,
Sherman,63,1,,,,
Tillamook,663,4,,,,
Umatilla,8401,86,,,,
Union,1465,23,,,,
Wallowa,187,5,,,,
Wasco,1418,28,,,,
Washington,26320,238,,,,
Wheeler,34,1,,,,
Yamhill,4649,78,,,,
Total,201260,2668,,,,
