County,Cases1,Deaths2,Negatives3
Baker,259,3,2772
Benton,719,7,21857
Clackamas,5472,76,90784
Clatsop,335,0,8015
Columbia,438,3,10159
Coos,390,1,10788
Crook,198,6,3922
Curry,105,2,2720
Deschutes,1955,14,46953
Douglas,822,15,18239
Gilliam,21,0,430
Grant,123,1,1392
Harney,87,1,1136
Hood River,366,1,6704
Jackson,3436,23,49459
Jefferson,773,11,6592
Josephine,443,4,17358
Klamath,685,4,13500
Lake,101,0,1218
Lane,3890,37,94317
Lincoln,565,13,11610
Linn,1275,18,24353
Malheur,2318,39,7252
Marion,8436,130,72928
Morrow,625,7,2412
Multnomah,15240,213,211061
Polk,1076,15,14856
Sherman,23,0,446
Tillamook,112,0,4174
Umatilla,4156,48,17707
Union,717,2,6025
Unknown,0,0,2
Wallowa,70,2,1439
Wasco,479,18,6899
Washington,9038,96,134354
Wheeler,3,0,211
Yamhill,1582,16,25904
Total,66333,826,949949
