County,Cases1,Total deaths2,Negative tests3
Baker,278,3,2803
Benton,784,7,22305
Clackamas,6023,77,91913
Clatsop,359,0,8173
Columbia,488,3,10263
Coos,421,3,10920
Crook,219,6,3970
Curry,133,2,2731
Deschutes,2291,15,47590
Douglas,921,18,18457
Gilliam,23,0,433
Grant,134,1,1453
Harney,99,1,1176
Hood River,396,1,6800
Jackson,3768,30,49879
Jefferson,814,11,6679
Josephine,523,4,17596
Klamath,844,4,13706
Lake,124,1,1264
Lane,4250,42,95064
Lincoln,616,15,11673
Linn,1392,22,24476
Malheur,2387,42,7302
Marion,9082,139,73873
Morrow,654,7,2454
Multnomah,16587,234,213351
Polk,1214,16,15040
Sherman,23,0,453
Tillamook,126,0,4212
Umatilla,4325,49,17858
Union,779,6,6137
Wallowa,71,3,1448
Wasco,524,19,6983
Washington,10135,99,135776
Wheeler,3,0,253
Yamhill,1696,16,26180
Total,72506,896,960644
