County,Total Cases1,Total deaths2,,,,
Baker,1011,15,,,,
Benton,3264,22,,,,
Clackamas,18925,235,,,,
Clatsop,1055,9,,,,
Columbia,1919,29,,,,
Coos,2166,37,,,,
Crook,1292,23,,,,
Curry,708,11,,,,
Deschutes,10015,82,,,,
Douglas,3879,82,,,,
Gilliam,80,1,,,,
Grant,550,7,,,,
Harney,433,9,,,,
Hood River,1216,33,,,,
Jackson,11535,146,,,,
Jefferson,2368,39,,,,
Josephine,3598,72,,,,
Klamath,4776,78,,,,
Lake,467,8,,,,
Lane,13896,164,,,,
Lincoln,1430,21,,,,
Linn,5603,80,,,,
Malheur,3614,63,,,,
Marion,23425,323,,,,
Morrow,1153,16,,,,
Multnomah,40354,614,,,,
Polk,3993,56,,,,
Sherman,67,1,,,,
Tillamook,660,4,,,,
Umatilla,8593,87,,,,
Union,1498,24,,,,
Wallowa,194,5,,,,
Wasco,1443,30,,,,
Washington,26781,248,,,,
Wheeler,35,1,,,,
Yamhill,4778,79,,,,
Total,206774,2754,,,,
