County,Total Cases1,Total deaths2,,,,
Baker,982,15,,,,
Benton,3215,22,,,,
Clackamas,18540,227,,,,
Clatsop,1014,8,,,,
Columbia,1860,29,,,,
Coos,2148,37,,,,
Crook,1236,22,,,,
Curry,677,10,,,,
Deschutes,9769,79,,,,
Douglas,3677,78,,,,
Gilliam,71,1,,,,
Grant,538,6,,,,
Harney,401,9,,,,
Hood River,1210,32,,,,
Jackson,11332,146,,,,
Jefferson,2337,38,,,,
Josephine,3499,72,,,,
Klamath,4723,75,,,,
Lake,464,7,,,,
Lane,13662,155,,,,
Lincoln,1406,21,,,,
Linn,5437,77,,,,
Malheur,3580,63,,,,
Marion,23078,320,,,,
Morrow,1142,16,,,,
Multnomah,39822,608,,,,
Polk,3907,55,,,,
Sherman,65,1,,,,
Tillamook,660,4,,,,
Umatilla,8469,86,,,,
Union,1477,23,,,,
Wallowa,192,5,,,,
Wasco,1432,28,,,,
Washington,26489,240,,,,
Wheeler,34,1,,,,
Yamhill,4707,78,,,,
Total,203252,2694,,,,
