County,Cases1,Total deaths2,Negative tests3
Baker,90,2,1533
Benton,285,6,12143
Clackamas,2256,61,56853
Clatsop,117,0,5304
Columbia,154,1,6608
Coos,138,0,6445
Crook,60,1,2470
Curry,27,0,1705
Deschutes,769,12,28147
Douglas,209,3,12176
Gilliam,8,0,265
Grant,8,0,862
Harney,12,0,764
Hood River,245,0,4772
Jackson,1039,4,31732
Jefferson,513,8,4499
Josephine,183,2,11311
Klamath,273,2,9844
Lake,28,0,853
Lane,964,15,60349
Lincoln,472,13,8406
Linn,466,13,15580
Malheur,1527,23,4819
Marion,4447,90,45305
Morrow,488,6,1682
Multnomah,6818,130,133456
Polk,502,15,8442
Sherman,18,0,327
Tillamook,48,0,2915
Umatilla,2913,41,12629
Union,435,2,3409
Wallowa,28,1,930
Wasco,234,3,4709
Washington,4289,58,87468
Wheeler,0,0,159
Yamhill,738,14,16397
Total,30801,526,605268
