County,Cases1,Total deaths2,Negative tests3,,,
Baker,144,3,2327,,,
Benton,464,6,19010,,,
Clackamas,3350,66,77546,,,
Clatsop,254,0,6905,,,
Columbia,274,2,8841,,,
Coos,266,1,9085,,,
Crook,116,3,3227,,,
Curry,60,2,2412,,,
Deschutes,1240,13,39453,,,
Douglas,376,8,15731,,,
Gilliam,17,0,369,,,
Grant,12,0,1061,,,
Harney,39,0,971,,,
Hood River,288,1,5962,,,
Jackson,1876,7,42507,,,
Jefferson,611,10,5808,,,
Josephine,277,3,14831,,,
Klamath,433,3,11990,,,
Lake,47,0,1100,,,
Lane,2564,28,83200,,,
Lincoln,519,13,9998,,,
Linn,881,17,21491,,,
Malheur,1977,38,6437,,,
Marion,6121,112,62209,,,
Morrow,557,7,2117,,,
Multnomah,9780,173,180123,,,
Polk,690,15,12371,,,
Sherman,21,0,392,,,
Tillamook,77,0,3696,,,
Umatilla,3476,45,15736,,,
Union,493,2,5252,,,
Wallowa,55,2,1236,,,
Wasco,358,16,6038,,,
Washington,6170,78,115583,,,
Wheeler,1,0,187,,,
Yamhill,1037,15,21826,,,
Total,"44,921",689,"817,028",,,
